o,d,km,tau_min,tau_max,tau_bar,ratio,profiles
24,5,3.814135789871216,6.066666603088379,17.775001525878906,12.483333587646484,2.929945230484009,44
12,3,3.0416526794433594,7.733333110809326,22.641666412353516,14.883333206176758,2.9278018474578857,44
8,0,3.122119665145874,5.75,16.808334350585938,12.0,2.9231886863708496,47
13,0,4.200377464294434,8.633333206176758,25.225000381469727,15.716666221618652,2.9218146800994873,46
19,6,1.4162192344665527,3.7166666984558105,10.833333015441895,8.083333015441895,2.9147980213165283,42
14,2,2.8002514839172363,6.399999618530273,18.625,11.866666793823242,2.910156488418579,44
20,7,1.2874720096588135,2.808333396911621,8.158332824707031,6.349999904632568,2.9050443172454834,41
10,1,1.770274043083191,4.058333396911621,11.783333778381348,8.133333206176758,2.9034907817840576,46
4,31,3.057745933532715,5.2166666984558105,15.133333206176758,10.808333396911621,2.90095853805542,35
0,4,2.02776837348938,5.391666412353516,15.633333206176758,11.333333015441895,2.899536371231079,48
6,10,3.8624160289764404,7.358333587646484,21.33333396911621,15.550000190734863,2.89920711517334,40
10,5,1.4484059810638428,3.25,9.416666984558105,6.166666507720947,2.8974359035491943,48
0,5,2.4622902870178223,5.300000190734863,15.324999809265137,11.899999618530273,2.8915092945098877,47
7,1,3.0416526794433594,6.366666793823242,18.399999618530273,12.949999809265137,2.890052318572998,46
5,7,4.184284210205078,8.466667175292969,24.450000762939453,17.441665649414062,2.8877952098846436,42
16,38,1.4484059810638428,3.9166667461395264,11.308333396911621,7.016666889190674,2.8872339725494385,43
5,12,2.05995512008667,5.5,15.858333587646484,9.800000190734863,2.883333444595337,46
7,12,2.4140100479125977,4.4583330154418945,12.850000381469727,8.899999618530273,2.8822433948516846,46
1,7,3.122119665145874,5.650000095367432,16.25,12.483333587646484,2.8761062622070312,47
1,23,3.057745933532715,7.0,20.100000381469727,13.25,2.8714287281036377,45
4,7,3.701482057571411,7.5916666984558105,21.766666412353516,15.666666984558105,2.8671789169311523,42
4,0,2.092142105102539,5.633333206176758,16.125,10.550000190734863,2.8624260425567627,48
12,23,3.218679904937744,8.666666030883789,24.766666412353516,15.899999618530273,2.8576924800872803,34
21,4,3.733668804168701,6.949999809265137,19.849998474121094,12.949999809265137,2.8561148643493652,45
4,6,2.4140100479125977,5.666666507720947,16.183332443237305,10.899999618530273,2.855882167816162,45
18,26,1.4644993543624878,3.116666793823242,8.899999618530273,6.449999809265137,2.85561466217041,36
9,19,3.218679904937744,5.3333330154418945,15.208333969116211,10.483333587646484,2.851562738418579,45
7,4,3.540548086166382,8.491666793823242,24.183332443237305,17.266666412353516,2.8478899002075195,45
6,13,4.828020095825195,9.116666793823242,25.816667556762695,19.200000762939453,2.8318099975585938,38
0,11,4.264750957489014,7.25,20.5,16.299999237060547,2.8275861740112305,41
29,17,1.4484059810638428,1.991666555404663,5.616666793823242,4.233333110809326,2.8200838565826416,40
1,4,1.6898070573806763,4.349999904632568,12.25,8.816666603088379,2.816092014312744,48
29,18,1.770274043083191,3.3499999046325684,9.433333396911621,6.2833333015441895,2.81592059135437,37
20,2,3.8946027755737305,8.899999618530273,25.0,19.08333396911621,2.8089888095855713,34
18,6,3.057745933532715,6.125,17.174999237060547,13.516666412353516,2.804081439971924,35
13,7,5.938464641571045,11.291666984558105,31.58333396911621,20.299999237060547,2.7970478534698486,42
9,20,4.811926364898682,7.300000190734863,20.416667938232422,13.350000381469727,2.7968037128448486,44
24,0,6.0189313888549805,10.050000190734863,28.100000381469727,20.16666603088379,2.7960197925567627,38
9,7,3.975069761276245,7.066666603088379,19.733333587646484,13.850000381469727,2.792452812194824,43
2,23,1.593246579170227,3.75,10.466666221618652,7.433333396911621,2.7911109924316406,48
1,3,2.8324384689331055,6.2166666984558105,17.350000381469727,12.416666984558105,2.7908847332000732,48
0,1,1.7219938039779663,3.4666666984558105,9.666666984558105,7.516666889190674,2.788461685180664,48
