o,d,h,mean_min,n,mean_km
1002,4004,14,14.438709677419356,31.0,2.6580067096774194
1002,4004,16,13.408854166666664,32.0,2.34410429375
1002,4004,18,11.017777777777779,30.0,2.37699518
1002,4005,11,13.31081081081081,37.0,2.8524464108108107
1002,4005,12,13.23030303030303,33.0,2.455462696969697
1002,4005,13,13.022368421052631,38.0,2.4872773210526318
1002,4005,17,11.567730496453901,47.0,2.338336778723404
1002,4005,18,10.41936274509804,68.0,2.383479873529412
1002,4005,19,10.382264957264956,78.0,2.437324797435897
1002,4005,20,10.151977401129946,59.0,2.3662753389830504
1002,4005,21,9.724545454545453,55.0,2.4344925090909086
1002,4005,22,9.648581560283686,47.0,2.4756442978723405
1002,4006,18,11.38888888888889,39.0,3.1633847282051284
1002,4006,19,10.369135802469135,54.0,3.0538716629629628
1002,4006,21,11.3525641025641,65.0,3.1768371600000003
1002,4006,22,10.432222222222224,45.0,2.922203808888889
1002,4007,0,10.743859649122808,38.0,4.162684963157895
1002,4007,18,12.403055555555557,60.0,4.657698183333333
1002,4007,19,12.20534188034188,78.0,3.790821002564102
1002,4007,20,12.279885057471265,58.0,4.015580772413793
1002,4007,21,12.097794117647059,68.0,4.132217117647058
1002,4007,22,12.023888888888887,60.0,4.275479933333333
1002,4007,23,12.511904761904763,56.0,4.213022214285713
1002,4008,19,11.124509803921566,34.0,4.539285470588235
1002,4008,20,8.991176470588234,34.0,4.477278547058823
1002,5002,8,13.091414141414141,33.0,3.3152404000000004
1002,5002,9,14.539024390243902,41.0,3.2469415804878046
1002,5003,8,13.804040404040403,33.0,2.593475793939394
1002,5003,9,12.608080808080809,33.0,2.720272278787879
1002,5003,12,12.887345679012347,54.0,2.849127851851852
1002,5003,13,12.805555555555555,36.0,2.6804451777777776
1002,5003,18,11.936363636363637,44.0,2.759652340909091
1002,5003,19,11.467592592592593,54.0,2.6861076703703706
1002,5003,20,9.728362573099416,57.0,2.673480782456141
1002,5003,21,9.901315789473685,38.0,2.6689633368421055
1002,5003,22,10.402525252525253,33.0,2.6568740363636363
1002,5004,8,14.757894736842108,38.0,3.136518957894737
1002,5004,9,16.927027027027027,37.0,2.9964170972972974
1002,5004,10,15.397967479674795,41.0,2.968250995121951
1002,5004,11,15.72840909090909,44.0,3.1488200136363633
1002,5004,12,15.634285714285715,35.0,3.11246356
1002,5004,13,14.858333333333333,44.0,3.060306313636364
1002,5004,14,14.221851851851852,45.0,3.1196161822222224
1002,5004,15,15.097999999999999,50.0,2.921917704
1002,5004,17,15.434343434343436,33.0,3.389367575757576
1002,5004,18,13.474561403508774,38.0,3.0814625894736842
1002,5004,19,13.023412698412699,42.0,3.27998819047619
1002,5004,20,12.247549019607844,34.0,3.003785776470588
1002,5005,8,16.302150537634407,31.0,3.396226541935484
1002,5005,9,15.334496124031007,43.0,3.4252743441860463
1002,5005,10,16.960975609756098,41.0,3.659874673170732
1002,5005,11,15.495299145299144,39.0,3.305336769230769
1002,5005,12,16.856837606837605,39.0,3.4939184051282055
1002,5005,13,15.176190476190476,42.0,3.4098849190476193
1002,5005,14,15.391111111111114,30.0,4.13278512
1002,5005,17,14.225520833333334,32.0,3.2473463687499997
1002,5005,18,13.313257575757575,44.0,3.285248154545455
1002,5005,19,12.964666666666666,50.0,3.3155622680000003
1002,5005,20,12.932500000000001,40.0,3.4109961299999996
1002,5005,21,12.089444444444444,30.0,3.41019146
1002,5006,0,11.717204301075268,31.0,3.8021955354838703
1002,5006,18,13.171296296296298,54.0,3.8519850925925927
1002,5006,19,13.61540404040404,66.0,3.708553342424242
1002,5006,20,12.479797979797981,66.0,3.494706193939394
1002,5006,21,13.0825,40.0,3.604116930000001
1002,5006,22,12.368018018018022,37.0,3.955061789189189
1002,5007,18,13.008333333333333,52.0,4.610449611538462
1002,5007,19,13.438679245283021,53.0,5.009298486792452
1002,5007,20,12.633999999999999,50.0,4.678029511999999
1002,5007,21,12.966666666666667,46.0,4.798981908695652
1002,5007,22,13.151550387596899,43.0,4.965749562790697
